ticker	label	date	open	high	low	close	volume	currency
FR0000121501	PEUGEOT	21/01/2020	19,650	19,860	19,520	19,520	2572112	EUR
FR0000121501	PEUGEOT	22/01/2020	19,590	19,930	19,350	19,425	2399836	EUR
FR0000121501	PEUGEOT	23/01/2020	19,285	19,385	18,985	19,120	2780494	EUR
FR0000121501	PEUGEOT	24/01/2020	19,380	19,535	19,185	19,270	4034042	EUR
FR0000121501	PEUGEOT	27/01/2020	18,995	19,055	18,540	18,735	4671099	EUR
FR0000121501	PEUGEOT	28/01/2020	18,900	19,135	18,595	19,130	3127241	EUR
FR0000121501	PEUGEOT	29/01/2020	19,100	19,455	18,955	19,395	3423444	EUR
FR0000121501	PEUGEOT	30/01/2020	19,095	19,235	18,955	19,125	3981557	EUR
FR0000121501	PEUGEOT	31/01/2020	19,080	19,095	18,585	18,610	6005662	EUR
FR0000121501	PEUGEOT	03/02/2020	18,600	18,980	18,555	18,900	3228406	EUR
FR0000121501	PEUGEOT	04/02/2020	19,050	19,405	18,830	19,200	3469038	EUR
FR0000121501	PEUGEOT	05/02/2020	19,155	19,795	19,000	19,580	4068066	EUR
FR0000121501	PEUGEOT	06/02/2020	19,780	20,450	19,760	19,880	4804463	EUR
FR0000121501	PEUGEOT	07/02/2020	19,800	19,805	19,085	19,400	4030661	EUR
FR0000121501	PEUGEOT	10/02/2020	19,175	19,465	18,845	18,950	3080077	EUR
FR0000121501	PEUGEOT	11/02/2020	19,250	19,615	19,005	19,170	3759667	EUR
FR0000121501	PEUGEOT	12/02/2020	19,150	20,170	19,150	20,120	4431318	EUR
FR0000121501	PEUGEOT	13/02/2020	19,885	19,925	19,515	19,700	3555790	EUR
FR0000121501	PEUGEOT	14/02/2020	19,785	20,020	19,335	19,370	2417883	EUR
FR0000121501	PEUGEOT	17/02/2020	19,650	19,950	19,535	19,560	2044784	EUR
FR0000121501	PEUGEOT	18/02/2020	19,255	19,395	19,055	19,340	3577060	EUR
FR0000121501	PEUGEOT	19/02/2020	19,400	19,500	19,125	19,500	2486445	EUR
FR0000121501	PEUGEOT	20/02/2020	19,500	19,780	19,285	19,435	3449796	EUR
FR0000121501	PEUGEOT	21/02/2020	19,320	19,580	18,955	19,140	3380534	EUR
